UPI Banks,Volume (Mn) By Costumers,Value (Cr) by Costumers,Volume (Mn),Value (Cr),Month,Year
Google Pay,1243.75,244453.05,1243.75,244453.05,8,2021
Google Pay,1119.16,230847.54,1119.16,230847.54,7,2021
Google Pay,972.26,207287.73,972.26,207287.73,6,2021
Google Pay,880.59,187136.95,880.59,187136.95,5,2021
Google Pay,905.96,190106.71,905.96,190106.71,4,2021
Google Pay,957.01,201185.14,957.01,201185.14,3,2021
Google Pay,827.86,174455.33,827.86,174455.33,2,2021
Google Pay,853.53,177791.47,853.53,177791.47,1,2021
HDFC Bank Apps,4.96,1250.74,4.96,1250.74,12,2021
HDFC Bank Apps,3.87,1030.59,3.87,1030.59,11,2021
HDFC Bank Apps,5.02,1082.99,5.02,1082.99,10,2021
HDFC Bank Apps,3.14,772.08,3.14,772.08,9,2021
HDFC Bank Apps,3.1,676.72,3.1,676.72,8,2021
HDFC Bank Apps,3,588.25,3,588.25,7,2021
HDFC Bank Apps,2.07,408.61,2.07,408.61,6,2021
HDFC Bank Apps,1.56,274.77,1.56,274.77,5,2021
HDFC Bank Apps,1.42,243.86,1.42,243.86,4,2021
HDFC Bank Apps,1.59,244.17,1.59,244.17,3,2021
HDFC Bank Apps,1.13,208.06,1.13,208.06,2,2021
HDFC Bank Apps,1.52,244.03,1.52,244.03,1,2021
HSBC Bank App,0.09,53.64,0.09,53.73,12,2021
HSBC Bank App,0.08,46.94,0.08,46.98,11,2021
HSBC Bank App,0.08,53.35,0.08,53.39,10,2021
HSBC Bank App,0.08,42.97,0.08,43.02,9,2021
HSBC Bank App,0.07,39.19,0.07,39.24,8,2021
HSBC Bank App,0.06,40.49,0.06,40.52,7,2021
HSBC Bank App,0.07,35.56,0.07,35.57,6,2021
HSBC Bank App,0.06,35.67,0.06,35.68,5,2021
HSBC Bank App,0.07,40.02,0.07,40.03,4,2021
HSBC Bank App,0.08,45.88,0.08,45.89,3,2021
HSBC Bank App,0.05,37.34,0.05,37.36,2,2021
HSBC Bank App,0.06,41.58,0.06,41.59,1,2021
ICICI Bank Apps,28.81,8742.96,31.99,8921.76,12,2021
